"CO2","Country of birth/nationality","VAR","Variable","GEN","Gender","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"JOR","Jordan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",369,,
"KAZ","Kazakhstan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",49,,
"KEN","Kenya","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",458,,
"KIR","Kiribati","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",5,,
"KOR","Korea","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3527,,
"KWT","Kuwait","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",12,,
"KGZ","Kyrgyzstan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",38,,
"LAO","Laos","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",143,,
"LVA","Latvia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",49,,
"LBN","Lebanon","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1432,,
"LSO","Lesotho","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4,,
"LBR","Liberia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1087,,
"LBY","Libya","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"LIE","Liechtenstein","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"LTU","Lithuania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",44,,
"LUX","Luxembourg","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MAC","Macau","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",30,,
"MKD","North Macedonia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",314,,
"MDG","Madagascar","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"MWI","Malawi","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",6,,
"MYS","Malaysia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4713,,
"MDV","Maldives","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",27,,
"MLI","Mali","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"MLT","Malta","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",94,,
"MHL","Marshall Islands","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MRT","Mauritania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"MUS","Mauritius","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",411,,
"MEX","Mexico","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",109,,
"FSM","Micronesia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",2,,
"MDA","Moldova","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",30,,
"MCO","Monaco","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MNG","Mongolia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",19,,
"MNE","Montenegro","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"MAR","Morocco","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",36,,
"MOZ","Mozambique","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",9,,
"MMR","Myanmar","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",500,,
"NAM","Namibia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",37,,
"NRU","Nauru","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",15,,
"NPL","Nepal","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",596,,
"NLD","Netherlands","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",796,,
"NZL","New Zealand","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",22379,,
"NIC","Nicaragua","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"NER","Niger","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"NGA","Nigeria","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",192,,
"NOR","Norway","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",147,,
"OMN","Oman","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",8,,
"PAK","Pakistan","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1714,,
"PLW","Palau","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"PSE","West Bank and Gaza Strip","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"PAN","Panama","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",1,,
"PNG","Papua New Guinea","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",199,,
"PRY","Paraguay","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"PER","Peru","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",227,,
"PHL","Philippines","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4766,,
"POL","Poland","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",491,,
"PRT","Portugal","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",188,,
"QAT","Qatar","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"ROU","Romania","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",277,,
"RUS","Russia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",901,,
"RWA","Rwanda","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",25,,
"KNA","Saint Kitts and Nevis","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"LCA","Saint Lucia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",3,,
"VCT","Saint Vincent and the Grenadines","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"WSM","Samoa","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",59,,
"SMR","San Marino","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"STP","Sao Tome and Principe","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"SAU","Saudi Arabia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",15,,
"SEN","Senegal","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",7,,
"SCG","Serbia and Montenegro","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",354,,
"SYC","Seychelles","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",29,,
"SLE","Sierra Leone","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",634,,
"SRB","Serbia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",0,,
"SGP","Singapore","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",4077,,
"SVK","Slovak Republic","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",170,,
"SVN","Slovenia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",21,,
"SLB","Solomon Islands","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",73,,
"SOM","Somalia","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",183,,
"ZAF","South Africa","B11","Inflows of foreign population by nationality","TOT","Total","AUS","Australia","2005","2005",5704,,
